source,target,weight
hardware,compiler,0.0
hardware,translator,0.13014828309786936
hardware,concurrency,-0.0
hardware,code,-0.0
hardware,map,0.2477242089475484
hardware,stack,-0.0
hardware,set,0.35257126702167135
hardware,heap,-0.0
hardware,computer,0.3363175417019753
hardware,interface,0.11705947863060931
hardware,core,0.12210546333841747
hardware,Linux,0.0
hardware,instruction,-0.0
hardware,multiprocessing,0.0
hardware,source code,0.0
hardware,recursion,0.0
hardware,register,0.30714416235428976
hardware,operating system,0.0
hardware,computing,0.0
hardware,cipher,0.12210546333841747
memory,network,0.3411074331662382
memory,packet,0.3297905452185041
memory,process,0.7526862849711841
memory,protocol,0.0
memory,query,0.23515143872737526
memory,software,0.07961244580008373
memory,object,0.4212414040630297
memory,variable,0.398743195468257
memory,algorithm,0.0
memory,database,0.10423283586183404
memory,transaction,0.2579532489169906
memory,tree,0.16532629425340586
memory,boolean,0.0
memory,bug,0.12689845737442304
memory,byte,0.0
memory,C,0.09572535162660364
memory,Java,0.0692808511263307
memory,compiler,0.0
memory,translator,0.13560759499930655
memory,concurrency,0.18179693872626607
memory,code,0.09453645360223123
memory,map,0.25860923337380404
memory,stack,0.10108254621901117
memory,set,0.3685503566450118
memory,heap,0.10108254621901117
memory,computer,0.44477114103455107
memory,interface,0.11705947863060931
memory,core,0.3806055652307328
memory,Linux,0.0
memory,instruction,0.2402220083109407
memory,multiprocessing,0.0
memory,source code,0.0
memory,recursion,0.0
memory,register,0.31920046268769886
memory,operating system,0.0
memory,computing,0.21097597194729378
memory,cipher,0.12689845737442304
network,packet,0.32349972196498616
network,process,0.11680241229463618
network,protocol,0.0
network,query,0.09771184691922334
network,software,0.07642830518770304
network,object,0.29155000464055464
network,variable,0.09115885766930924
network,algorithm,0.0
network,database,0.09884144659924894
network,transaction,0.10665778900318351
network,tree,0.15992464205708434
network,boolean,0.0
network,bug,0.12369169929752999
network,byte,0.0
network,C,0.09115885766930924
network,Java,0.06716166591954294
network,compiler,0.0
network,translator,0.13195190814256158
network,concurrency,0.07642830518770304
network,code,0.09008004559051903
network,map,0.2513157579023817
network,stack,0.29767586995577133
network,set,0.357838948355701
network,heap,0.32916057570516616
network,computer,0.3411074331662382
network,interface,0.11386951902411943
network,core,0.3156457554717492
network,Linux,0.0
network,instruction,0.09970886927401613
